DEBUG:root:start insert company for 'AAPL'
DEBUG:root:insert value for 'AAPL' in '2016-12-12'
DEBUG:root:insert value for 'AAPL' in '2016-12-09'
DEBUG:root:insert value for 'AAPL' in '2016-12-08'
DEBUG:root:insert value for 'AAPL' in '2016-12-07'
DEBUG:root:insert value for 'AAPL' in '2016-12-06'
DEBUG:root:insert value for 'AAPL' in '2016-12-05'
DEBUG:root:insert value for 'AAPL' in '2016-12-02'
DEBUG:root:insert value for 'AAPL' in '2016-12-01'
DEBUG:root:insert value for 'AAPL' in '2016-11-30'
DEBUG:root:insert value for 'AAPL' in '2016-11-29'
DEBUG:root:insert value for 'AAPL' in '2016-11-28'
DEBUG:root:insert value for 'AAPL' in '2016-11-25'
DEBUG:root:insert value for 'AAPL' in '2016-11-23'
DEBUG:root:insert value for 'AAPL' in '2016-11-22'
DEBUG:root:insert value for 'AAPL' in '2016-11-21'
DEBUG:root:insert value for 'AAPL' in '2016-11-18'
DEBUG:root:insert value for 'AAPL' in '2016-11-17'
DEBUG:root:insert value for 'AAPL' in '2016-11-16'
DEBUG:root:insert value for 'AAPL' in '2016-11-15'
DEBUG:root:insert value for 'AAPL' in '2016-11-14'
DEBUG:root:insert value for 'AAPL' in '2016-11-11'
DEBUG:root:insert value for 'AAPL' in '2016-11-10'
DEBUG:root:insert value for 'AAPL' in '2016-11-09'
DEBUG:root:insert value for 'AAPL' in '2016-11-08'
DEBUG:root:insert value for 'AAPL' in '2016-11-07'
DEBUG:root:insert value for 'AAPL' in '2016-11-04'
DEBUG:root:insert value for 'AAPL' in '2016-11-03'
DEBUG:root:insert value for 'AAPL' in '2016-11-02'
DEBUG:root:insert value for 'AAPL' in '2016-11-01'
DEBUG:root:insert value for 'AAPL' in '2016-10-31'
DEBUG:root:insert value for 'AAPL' in '2016-10-28'
DEBUG:root:insert value for 'AAPL' in '2016-10-27'
DEBUG:root:insert value for 'AAPL' in '2016-10-26'
DEBUG:root:insert value for 'AAPL' in '2016-10-25'
DEBUG:root:insert value for 'AAPL' in '2016-10-24'
DEBUG:root:insert value for 'AAPL' in '2016-10-21'
DEBUG:root:insert value for 'AAPL' in '2016-10-20'
DEBUG:root:insert value for 'AAPL' in '2016-10-19'
